"OlinkID","Assay","UniProt","MissingFreq","LOD","Panel","Panel_Version"
"OID21082","SIGLEC5","O15389",0.07,1.8815,"NEUROLOGY",1
"OID21083","MMP3","P08254",0.03,-0.0028,"NEUROLOGY",1
"OID21084","WARS","P23381",0.03,1.1191,"NEUROLOGY",1
"OID21085","NID2","Q14112",0.04,0.5861,"NEUROLOGY",1
"OID21086","HARS","P12081",0.43,0.6032,"NEUROLOGY",1
"OID21087","PEBP1","P30086",0.09,1.8731,"NEUROLOGY",1
"OID21088","SERPINB1","P30740",0.99,4.3851,"NEUROLOGY",1
"OID21089","IL17RA","Q96F46",0.29,0.5019,"NEUROLOGY",1
"OID21090","CLEC14A","Q86T13",0.05,0.1539,"NEUROLOGY",1
"OID21091","GP6","Q9HCN6",0.04,0.75,"NEUROLOGY",1
"OID21092","CNTN3","Q9P232",0.04,0.3029,"NEUROLOGY",1
"OID21093","INHBC","P55103",0.04,0.7445,"NEUROLOGY",1
"OID21094","PIK3IP1","Q96FE7",0.03,-0.1064,"NEUROLOGY",1
"OID21095","NCAM2","O15394",0.03,0.5075,"NEUROLOGY",1
"OID21096","CA6","P23280",0.53,0.1823,"NEUROLOGY",1
"OID21097","SPINK1","P00995",0.12,-0.0407,"NEUROLOGY",1
"OID21098","SUSD2","Q9UGT4",0.03,0.3129,"NEUROLOGY",1
"OID21099","MESD","Q14696",0.26,0.2357,"NEUROLOGY",1
"OID21101","GUCA2A","Q02747",0.03,0.139,"NEUROLOGY",1
"OID21102","PIGR","P01833",0.91,3.9643,"NEUROLOGY",1
"OID21103","MMP9","P14780",0.99,5.0968,"NEUROLOGY",1
"OID21104","THBS2","P35442",0.03,-0.3379,"NEUROLOGY",1
"OID21105","PLA2G7","Q13093",0.03,0.1582,"NEUROLOGY",1
"OID21106","NOMO1","Q15155",0.03,0.0916,"NEUROLOGY",1
"OID21107","TNXB","P22105",0.03,-0.1887,"NEUROLOGY",1
"OID21108","CD109","Q6YHK3",0.04,0.5125,"NEUROLOGY",1
"OID21109","SPINT1","O43278",0.04,0.6987,"NEUROLOGY",1
"OID21110","CD99","P14209",0.03,0.1433,"NEUROLOGY",1
"OID21111","FCRL5","Q96RD9",0.04,0.0063,"NEUROLOGY",1
"OID21112","CLEC11A","Q9Y240",0.03,0.511,"NEUROLOGY",1
"OID21113","DSG2","Q14126",0.03,-0.3584,"NEUROLOGY",1
"OID21114","SOD2","P04179",0.06,0.7955,"NEUROLOGY",1
"OID21115","NUDT5","Q9UKK9",0.06,1.4765,"NEUROLOGY",1
"OID21116","IL1R1","P14778",0.03,0.4719,"NEUROLOGY",1
"OID21117","CNTN4","Q8IWV2",0.04,-0.5217,"NEUROLOGY",1
"OID21118","TMSB10","P63313",0.04,0.4122,"NEUROLOGY",1
"OID21119","CD177","Q8N6Q3",0.8,4.4949,"NEUROLOGY",1
"OID21120","TREML2","Q5T2D2",0.04,0.3627,"NEUROLOGY",1
"OID21121","MYOC","Q99972",0.03,0.7029,"NEUROLOGY",1
"OID21122","CD99L2","Q8TCZ2",0.03,0.3635,"NEUROLOGY",1
"OID21123","OGN","P20774",0.05,0.8725,"NEUROLOGY",1
"OID21124","PLAU","P00749",0.04,0.3142,"NEUROLOGY",1
"OID21125","EFNA1","P20827",0.04,-0.5249,"NEUROLOGY",1
"OID21126","IL1RAP","Q9NPH3",0.04,0.0749,"NEUROLOGY",1
"OID21127","B4GAT1","O43505",0.03,0.626,"NEUROLOGY",1
"OID21128","ALDH1A1","P00352",0.03,1.0635,"NEUROLOGY",1
"OID21129","PILRA","Q9UKJ1",0.03,0.9729,"NEUROLOGY",1
"OID21130","CD300LG","Q6UXG3",0.55,0.6276,"NEUROLOGY",1
"OID21131","PECAM1","P16284",0.05,0.0221,"NEUROLOGY",1
"OID21132","GNLY","P22749",0.04,1.035,"NEUROLOGY",1
"OID21133","FCER2","P06734",0.04,0.6576,"NEUROLOGY",1
"OID21134","MFGE8","Q08431",0.04,0.3271,"NEUROLOGY",1
"OID21135","TXNRD1","Q16881",0.04,0.5902,"NEUROLOGY",1
"OID21136","IL7R","P16871",0.04,1.3055,"NEUROLOGY",1
"OID21137","HAVCR2","Q8TDQ0",0.03,0.1408,"NEUROLOGY",1
"OID21138","ARSA","P15289",0.05,0.5933,"NEUROLOGY",1
"OID21139","ITGA5","P08648",0.03,0.2332,"NEUROLOGY",1
"OID21140","FYB1","O15117",0.04,0.4056,"NEUROLOGY",1
"OID21141","BLVRB","P30043",0.17,1.1449,"NEUROLOGY",1
"OID21142","RELT","Q969Z4",0.04,1.4617,"NEUROLOGY",1
"OID21143","DBI","P07108",0.22,2.7468,"NEUROLOGY",1
"OID21144","VSIG4","Q9Y279",0.04,0.2207,"NEUROLOGY",1
"OID21145","TNFRSF1B","P20333",0.03,0.7502,"NEUROLOGY",1
"OID21146","IGF2R","P11717",0.03,-0.4079,"NEUROLOGY",1
"OID21147","TIMP4","Q99727",0.04,0.854,"NEUROLOGY",1
"OID21148","SPINK5","Q9NQ38",0.51,0.3095,"NEUROLOGY",1
"OID21149","CA2","P00918",0.03,1.1565,"NEUROLOGY",1
"OID21150","CTRB1","P17538",0.04,0.9719,"NEUROLOGY",1
"OID21151","F11R","Q9Y624",0.04,0.0432,"NEUROLOGY",1
"OID21152","LILRA2","Q8N149",0.05,-0.1842,"NEUROLOGY",1
"OID21153","PAMR1","Q6UXH9",0.04,-0.568,"NEUROLOGY",1
"OID21154","TFF1","P04155",0.16,1.0844,"NEUROLOGY",1
"OID21155","TNFRSF1A","P19438",0.03,-0.0699,"NEUROLOGY",1
"OID21156","CLPS","P04118",0.04,1.5047,"NEUROLOGY",1
"OID21157","STC2","O76061",0.03,0.0346,"NEUROLOGY",1
"OID21158","IGFBP4","P22692",0.04,0.3195,"NEUROLOGY",1
"OID21159","GRN","P28799",0.04,4.1766,"NEUROLOGY",1
"OID21160","PARK7","Q99497",0.07,2.0272,"NEUROLOGY",1
"OID21161","SCP2","P22307",0.72,0.7926,"ONCOLOGY",1
"OID21162","ANKRD54","Q6NXT1",0.31,0.7411,"ONCOLOGY",1
"OID21163","RABEPK","Q7Z6M1",0.75,0.7127,"ONCOLOGY",1
"OID21164","VTCN1","Q7Z7D3",0.86,0.5327,"ONCOLOGY",1
"OID21165","SFTPA1","Q8IWL2",0.5,0.2936,"ONCOLOGY",1
"OID21166","RAD23B","P54727",0.27,1.1996,"ONCOLOGY",1
"OID21167","NINJ1","Q92982",0.85,0.7385,"ONCOLOGY",1
"OID21168","GH2","P01242",0.83,1.2384,"ONCOLOGY",1
"OID21169","PSRC1","Q6PGN9",0.73,0.5584,"ONCOLOGY",1
"OID21170","STX16","O14662",0.69,0.9738,"ONCOLOGY",1
"OID21171","CEACAM5","P06731",0.64,1.715,"ONCOLOGY",1
"OID21172","PQBP1","O60828",0.41,1.2608,"ONCOLOGY",1
"OID21173","GSAP","A4D1B5",0.87,-0.7029,"ONCOLOGY",1
"OID21174","RRM2B","Q7LG56",0.34,1.1528,"ONCOLOGY",1
"OID21175","HGS","O14964",0.23,0.9913,"ONCOLOGY",1
"OID21176","PDP1","Q9P0J1",0.45,0.8783,"ONCOLOGY",1
"OID21177","RARRES1","P49788",0.68,0.6353,"ONCOLOGY",1
"OID21178","ATP6AP2","O75787",0.69,0.584,"ONCOLOGY",1
"OID21179","RNF41","Q9H4P4",0.04,1.0865,"ONCOLOGY",1
"OID21180","SMAD1","Q15797",0.54,0.3832,"ONCOLOGY",1
"OID21181","MAGED1","Q9Y5V3",0.74,0.2155,"ONCOLOGY",1
"OID21182","CAMKK1","Q8N5S9",0.6,0.8536,"ONCOLOGY",1
"OID21183","PDGFC","Q9NRA1",0.44,0.3656,"ONCOLOGY",1
"OID21184","PPM1A","P35813",0.99,0.5198,"ONCOLOGY",1
"OID21185","KIR3DL1","P43629",0.79,2.2609,"ONCOLOGY",1
"OID21186","MZT1","Q08AG7",0.76,0.5824,"ONCOLOGY",1
"OID21187","RRM2","P31350",0.09,0.4993,"ONCOLOGY",1
"OID21188","ADCYAP1R1","P41586",0.22,0.6108,"ONCOLOGY",1
"OID21189","UXS1","Q8NBZ7",0.08,0.4244,"ONCOLOGY",1
"OID21191","LTBP3","Q9NS15",0.04,0.8305,"ONCOLOGY",1
"OID21192","FEN1","P39748",0.18,1.0582,"ONCOLOGY",1
"OID21193","FCRLB","Q6BAA4",0.09,0.1776,"ONCOLOGY",1
"OID21194","RASSF2","P50749",0.46,0.8606,"ONCOLOGY",1
"OID21195","CA11","O75493",0.03,0.2322,"ONCOLOGY",1
"OID21196","KIR2DL3","P43628",0.39,1.2131,"ONCOLOGY",1
"OID21197","AKT3","Q9Y243",0.73,0.5654,"ONCOLOGY",1
"OID21198","BGN","P21810",0.36,0.8368,"ONCOLOGY",1
"OID21199","BTC","P35070",0.82,0.5654,"ONCOLOGY",1
"OID21200","CCT5","P48643",0.73,0.3963,"ONCOLOGY",1
"OID21201","KLK12","Q9UKR0",0.65,0.9455,"ONCOLOGY",1
"OID21202","ARHGAP1","Q07960",0.07,0.7123,"ONCOLOGY",1
"OID21203","RANGAP1","P46060",0.99,0.85,"ONCOLOGY",1
"OID21204","MAVS","Q7Z434",0.24,1.223,"ONCOLOGY",1
"OID21205","ZBTB16","Q05516",0.09,0.6022,"ONCOLOGY",1
"OID21206","MAEA","Q7L5Y9",0.35,0.3903,"ONCOLOGY",1
"OID21207","FES","P07332",0.89,0.5137,"ONCOLOGY",1
"OID21208","NTF4","P34130",0.88,0.2862,"ONCOLOGY",1
"OID21209","FOPNL","Q96NB1",0.6,1.4251,"ONCOLOGY",1
"OID21210","LSM1","O15116",0.91,0.4753,"ONCOLOGY",1
"OID21211","RUVBL1","Q9Y265",0.09,0.9109,"ONCOLOGY",1
"OID21212","NFKBIE","O00221",0.42,0.8052,"ONCOLOGY",1
"OID21213","IKZF2","Q9UKS7",0.97,0.9682,"ONCOLOGY",1
"OID21214","SLAMF8","Q9P0V8",0.08,0.2268,"ONCOLOGY",1
"OID21215","FCGR2B","P31994",0.21,1.7103,"ONCOLOGY",1
"OID21216","GFOD2","Q3B7J2",0.68,-0.4645,"ONCOLOGY",1
"OID21217","BIRC2","Q13490",0.88,0.9683,"ONCOLOGY",1
"OID21218","SFTPA2","Q8IWL1",0.1,1.427,"ONCOLOGY",1
"OID21219","STX6","O43752",0.34,1.0243,"ONCOLOGY",1
"OID21220","TBL1X","O60907",0.67,1.3766,"ONCOLOGY",1
"OID21221","PSMA1","P25786",0.98,0.722,"ONCOLOGY",1
"OID21222","SH2B3","Q9UQQ2",0.47,1.4451,"ONCOLOGY",1
"OID21224","NDUFS6","O75380",0.26,1.8526,"ONCOLOGY",1
"OID21225","PRKRA","O75569",0.39,1.364,"ONCOLOGY",1
"OID21226","DDX58","O95786",0.05,1.1711,"ONCOLOGY",1
"OID21227","NAMPT","P43490",0.19,2.083,"ONCOLOGY",1
"OID21228","CLEC6A","Q6EIG7",0.09,0.6669,"ONCOLOGY",1
"OID21229","SUGT1","Q9Y2Z0",0.33,1.1199,"ONCOLOGY",1
"OID21230","CHAC2","Q8WUX2",0.68,0.9655,"ONCOLOGY",1
"OID21231","GNE","Q9Y223",0.56,1.0049,"ONCOLOGY",1
"OID21232","TP53","P04637",0.82,0.5931,"ONCOLOGY",1
"OID21233","FMR1","Q06787",0.86,0.9417,"ONCOLOGY",1
"OID21234","AIF1","P55008",0.76,1.1315,"ONCOLOGY",1
"OID21235","NPTN","Q9Y639",0.88,1.2749,"ONCOLOGY",1
"OID21236","MED18","Q9BUE0",0.65,0.959,"ONCOLOGY",1
"OID21237","TNF","P01375",0.1,0.6848,"ONCOLOGY",1
"OID21238","CDC27","P30260",0.54,0.7188,"ONCOLOGY",1
"OID21239","FLI1","Q01543",0.76,0.7189,"ONCOLOGY",1
"OID21240","STXBP3","O00186",0.73,0.7163,"ONCOLOGY",1
"OID21241","CEP85","Q6P2H3",0.68,1.0363,"ONCOLOGY",1
"OID21242","GSTA3","Q16772",0.58,1.2231,"ONCOLOGY",1
"OID21243","AGR3","Q8TD06",0.66,0.8805,"ONCOLOGY",1
"OID21244","AKR1B1","P15121",0.36,0.8586,"ONCOLOGY",1
"OID21245","CEACAM3","P40198",0.96,0.934,"ONCOLOGY",1
"OID21246","ATG4A","Q8WYN0",0.18,0.4865,"ONCOLOGY",1
"OID21247","GFAP","P14136",0.34,1.24,"ONCOLOGY",1
"OID21248","LHB","P01229",0.41,1.671,"ONCOLOGY",1
"OID21249","CRACR2A","Q9BSW2",0.21,0.7139,"ONCOLOGY",1
"OID21250","BAIAP2","Q9UQB8",0.26,1.6867,"ONCOLOGY",1
"OID21251","LYPD8","Q6UX82",0.91,1.3811,"ONCOLOGY",1
"OID21252","EGFL7","Q9UHF1",0.04,0.6948,"ONCOLOGY",1
"OID21253","MAP3K5","Q99683",0.48,1.6011,"ONCOLOGY",1
"OID21254","SLAMF6","Q96DU3",0.81,1.3103,"ONCOLOGY",1
"OID21255","ARHGAP25","P42331",0.12,0.8631,"ONCOLOGY",1
"OID21256","FUS","P35637",0.14,0.0101,"ONCOLOGY",1
"OID21257","CRH","P06850",0.33,1.1024,"ONCOLOGY",1
"OID21258","PLXDC1","Q8IUK5",0.73,0.8868,"ONCOLOGY",1
"OID21259","GFER","P55789",0.04,0.721,"ONCOLOGY",1
"OID21260","ENTPD2","Q9Y5L3",0.28,-0.2017,"ONCOLOGY",1
"OID21261","CFC1","P0CG37",0.38,1.423,"ONCOLOGY",1
"OID21262","SORCS2","Q96PQ0",0.33,0.4652,"ONCOLOGY",1
"OID21263","GCG","P01275",0.48,1.0434,"ONCOLOGY",1
"OID21264","LYAR","Q9NX58",0.9,0.6476,"ONCOLOGY",1
"OID21265","CD28","P10747",0.29,1.0189,"ONCOLOGY",1
"OID21266","HPGDS","O60760",0.9,0.414,"ONCOLOGY",1
"OID21267","BAMBI","Q13145",0.96,0.4918,"ONCOLOGY",1
"OID21268","ITGB1BP1","O14713",0.8,1.1367,"ONCOLOGY",1
"OID21269","ACAA1","P09110",0.12,2.0588,"ONCOLOGY",1
"OID21270","TPMT","P51580",0.11,0.9566,"ONCOLOGY",1
"OID21271","FOXO3","O43524",0.92,1.8436,"ONCOLOGY",1
"OID21272","FLT3","P36888",0.95,0.9282,"ONCOLOGY",1
"OID21273","PDCD1LG2","Q9BQ51",0.03,0.2175,"ONCOLOGY",1
"OID21274","IGF1R","P08069",0.03,-0.7789,"ONCOLOGY",1
"OID21275","ADAMTS15","Q8TE58",0.04,0.3631,"ONCOLOGY",1
"OID21276","IL6","P05231",0.04,1.1991,"ONCOLOGY",1
"OID21277","STAT5B","P51692",0.04,1.72,"ONCOLOGY",1
"OID21278","SF3B4","Q15427",0.04,0.0779,"ONCOLOGY",1
"OID21279","SEPTIN9","Q9UHD8",0.57,0.214,"ONCOLOGY",1
"OID21280","ABL1","P00519",0.04,0.5313,"ONCOLOGY",1
"OID21281","VPS53","Q5VIR6",0.32,0.3876,"ONCOLOGY",1
"OID21282","CDHR2","Q9BYE9",0.07,0.6878,"ONCOLOGY",1
"OID21283","POLR2F","P61218",0.05,0.3892,"ONCOLOGY",1
"OID21284","SERPINA9","Q86WD7",0.07,0.4038,"ONCOLOGY",1
"OID21285","TACC3","Q9Y6A5",0.39,0.5245,"ONCOLOGY",1
"OID21286","TBC1D23","Q9NUY8",0.58,0.5232,"ONCOLOGY",1
"OID21287","AIFM1","O95831",0.34,0.8552,"ONCOLOGY",1
"OID21288","MPI","P34949",0.08,1.1467,"ONCOLOGY",1
"OID21289","SEZ6L2","Q6UXD5",0.06,0.2782,"ONCOLOGY",1
"OID21290","LPCAT2","Q7L5N7",0.79,0.3762,"ONCOLOGY",1
"OID21291","KLK13","Q9UKR3",0.03,1.0197,"ONCOLOGY",1
"OID21292","LAT2","Q9GZY6",0.04,0.594,"ONCOLOGY",1
"OID21293","LRP1","Q07954",0.04,0.2776,"ONCOLOGY",1
"OID21294","ADGRG1","Q9Y653",0.04,0.5533,"ONCOLOGY",1
"OID21295","CDKN2D","P55273",0.53,0.7482,"ONCOLOGY",1
"OID21296","KRT18","P05783",0.04,0.1281,"ONCOLOGY",1
"OID21297","COX5B","P10606",0.12,0.7654,"ONCOLOGY",1
"OID21298","CD207","Q9UJ71",0.23,0.9224,"ONCOLOGY",1
"OID21299","DDAH1","O94760",0.12,0.6483,"ONCOLOGY",1
"OID21301","FLT1","P17948",0.04,1.0548,"ONCOLOGY",1
"OID21302","RP2","O75695",0.2,0.4832,"ONCOLOGY",1
"OID21303","HS3ST3B1","Q9Y662",0.04,0.5118,"ONCOLOGY",1
"OID21304","PSMD9","O00233",0.03,0.6757,"ONCOLOGY",1
"OID21305","DPEP2","Q9H4A9",0.03,0.4371,"ONCOLOGY",1
"OID21306","CALB1","P05937",0.04,0.4875,"ONCOLOGY",1
"OID21307","MME","P08473",0.05,1.2451,"ONCOLOGY",1
"OID21308","NUDT2","P50583",0.22,0.6738,"ONCOLOGY",1
"OID21309","GRPEL1","Q9HAV7",0.03,0.1647,"ONCOLOGY",1
"OID21310","VNN2","O95498",0.03,0.362,"ONCOLOGY",1
"OID21311","AARSD1","Q9BTE6",0.04,0.7204,"ONCOLOGY",1
"OID21312","IGSF3","O75054",0.04,0.7737,"ONCOLOGY",1
"OID21313","DKKL1","Q9UK85",0.12,0.1169,"ONCOLOGY",1
"OID21314","INPPL1","O15357",0.11,0.5304,"ONCOLOGY",1
"OID21315","LAG3","P18627",0.03,0.7778,"ONCOLOGY",1
"OID21316","CD38","P28907",0.03,0.6895,"ONCOLOGY",1
"OID21317","CNPY4","Q8N129",0.06,0.6434,"ONCOLOGY",1
"OID21318","CDNF","Q49AH0",0.15,0.6139,"ONCOLOGY",1
"OID21319","CDKN1A","P38936",0.07,0.8361,"ONCOLOGY",1
"OID21320","KIFBP","Q96EK5",0.32,1.1187,"ONCOLOGY",1
"OID21321","TAFA5","Q7Z5A7",0.5,0.6692,"ONCOLOGY",1
"OID21322","ST3GAL1","Q11201",0.04,-0.0055,"ONCOLOGY",1
"OID21323","ERBIN","Q96RT1",0.21,0.567,"ONCOLOGY",1
"OID21324","SRP14","P37108",0.04,0.2409,"ONCOLOGY",1
"OID21325","DSG4","Q86SJ6",0.68,0.3276,"ONCOLOGY",1
"OID21326","STX4","Q12846",0.04,0.2395,"ONCOLOGY",1
"OID21327","IL12A_IL12B","P29459_P29460",0.04,0.9636,"ONCOLOGY",1
"OID21328","CD302","Q8IX05",0.04,1.0574,"ONCOLOGY",1
"OID21329","SEMA4C","Q9C0C4",0.04,0.5657,"ONCOLOGY",1
"OID21330","GFRA2","O00451",0.08,0.2015,"ONCOLOGY",1
"OID21331","ARSB","P15848",0.03,0.566,"ONCOLOGY",1
"OID21332","SCAMP3","O14828",0.03,0.6136,"ONCOLOGY",1
"OID21333","LRRC25","Q8N386",0.04,0.9896,"ONCOLOGY",1
"OID21334","DCTN2","Q13561",0.47,0.3416,"ONCOLOGY",1
"OID21335","DRG2","P55039",0.41,0.3174,"ONCOLOGY",1
"OID21336","UBAC1","Q9BSL1",0.04,0.9305,"ONCOLOGY",1
"OID21337","ELOA","Q14241",0.04,0.8972,"ONCOLOGY",1
"OID21338","ERP44","Q9BS26",0.04,0.7397,"ONCOLOGY",1
"OID21339","KAZALD1","Q96I82",0.06,0.1927,"ONCOLOGY",1
"OID21340","CES3","Q6UWW8",0.41,1.0903,"ONCOLOGY",1
"OID21341","ATP6V1D","Q9Y5K8",0.73,0.4708,"ONCOLOGY",1
"OID21342","EPHA2","P29317",0.04,1.5543,"ONCOLOGY",1
"OID21343","RTBDN","Q9BSG5",0.03,0.6776,"ONCOLOGY",1
"OID21344","CA12","O43570",0.04,0.8974,"ONCOLOGY",1
"OID21345","INPP1","P49441",0.03,0.8471,"ONCOLOGY",1
"OID21346","RET","P07949",0.03,-0.4301,"ONCOLOGY",1
"OID21347","PPME1","Q9Y570",0.05,1.0065,"ONCOLOGY",1
"OID21348","YES1","P07947",0.04,0.7291,"ONCOLOGY",1
"OID21349","DTX3","Q8N9I9",0.04,0.3359,"ONCOLOGY",1
"OID21350","LYN","P07948",0.04,0.5955,"ONCOLOGY",1
"OID21351","ICOSLG","O75144",0.03,0.2326,"ONCOLOGY",1
"OID21352","OMG","P23515",0.27,1.3308,"ONCOLOGY",1
"OID21353","SMAD5","Q99717",0.06,0.3871,"ONCOLOGY",1
"OID21354","DPP6","P42658",0.13,0.347,"ONCOLOGY",1
"OID21355","VPS37A","Q8NEZ2",0.28,0.6683,"ONCOLOGY",1
"OID21356","PFKFB2","O60825",0.03,0.1561,"ONCOLOGY",1
"OID21357","AREG","P15514",0.03,0.9041,"ONCOLOGY",1
"OID21358","PODXL","O00592",0.04,0.8891,"ONCOLOGY",1
"OID21359","APBB1IP","Q7Z5R6",0.24,0.794,"ONCOLOGY",1
"OID21360","OGFR","Q9NZT2",0.03,0.2163,"ONCOLOGY",1
"OID21361","IQGAP2","Q13576",0.14,1.0955,"ONCOLOGY",1
"OID21362","OPTC","Q9UBM4",0.1,1.1764,"ONCOLOGY",1
"OID21363","DNAJB1","P25685",0.05,0.6204,"ONCOLOGY",1
"OID21364","TMPRSS15","P98073",0.64,0.6003,"ONCOLOGY",1
"OID21365","RBP2","P50120",0.28,0.5077,"ONCOLOGY",1
"OID21366","CES2","O00748",0.05,0.0545,"ONCOLOGY",1
"OID21367","USO1","O60763",0.53,2.166,"ONCOLOGY",1
"OID21368","CCN1","O00622",0.03,0.5723,"ONCOLOGY",1
"OID21369","RBP5","P82980",0.04,1.4476,"ONCOLOGY",1
"OID21370","AMIGO2","Q86SJ2",0.04,0.6966,"ONCOLOGY",1
"OID21371","GALNT10","Q86SR1",0.04,1.0096,"ONCOLOGY",1
"OID21372","FAM3B","P58499",0.17,1.2277,"ONCOLOGY",1
"OID21373","DEFB4A_DEFB4B","O15263",0.3,0.8899,"ONCOLOGY",1
"OID21374","S100A12","P80511",0.03,1.0765,"ONCOLOGY",1
"OID21375","SIRT2","Q8IXJ6",0.03,-0.0328,"ONCOLOGY",1
"OID21376","GPA33","Q99795",0.1,1.0973,"ONCOLOGY",1
"OID21377","GALNT7","Q86SF2",0.03,0.9082,"ONCOLOGY",1
"OID21378","MUC16","Q8WXI7",0.47,2.4159,"ONCOLOGY",1
"OID21379","GCNT1","Q02742",0.04,0.9056,"ONCOLOGY",1
"OID21380","MSLN","Q13421",0.03,1.2226,"ONCOLOGY",1
"OID21381","VMO1","Q7Z5L0",0.14,1.2,"ONCOLOGY",1
"OID21382","VAT1","Q99536",0.09,0.4209,"ONCOLOGY",1
"OID21383","ALPP","P05187",0.03,0.7171,"ONCOLOGY",1
"OID21384","MOG","Q16653",0.03,-0.0526,"ONCOLOGY",1
"OID21385","HMBS","P08397",0.04,0.1092,"ONCOLOGY",1
"OID21386","CBLN4","Q9NTU7",0.04,0.0412,"ONCOLOGY",1
"OID21387","CALCOCO1","Q9P1Z2",0.03,0.7582,"ONCOLOGY",1
"OID21388","NPY","P01303",0.03,-0.603,"ONCOLOGY",1
"OID21389","EBI3_IL27","Q14213_Q8NEV9",0.03,0.4274,"ONCOLOGY",1
"OID21390","SIGLEC9","Q9Y336",0.03,-0.0557,"ONCOLOGY",1
"OID21391","KLK4","Q9Y5K2",0.03,0.5592,"ONCOLOGY",1
"OID21392","CPE","P16870",0.04,0.5097,"ONCOLOGY",1
"OID21393","ITGB7","P26010",0.04,-0.6443,"ONCOLOGY",1
"OID21394","SIGLEC6","O43699",0.04,-0.0149,"ONCOLOGY",1
"OID21395","HAO1","Q9UJM8",0.03,0.1489,"ONCOLOGY",1
"OID21396","PDCD1","Q15116",0.04,0.1329,"ONCOLOGY",1
"OID21397","EPS8L2","Q9H6S3",0.04,0.3047,"ONCOLOGY",1
"OID21398","XCL1","P47992",0.04,-0.1154,"ONCOLOGY",1
"OID21399","DCTN1","Q14203",0.05,0.9104,"ONCOLOGY",1
"OID21400","SCG2","P13521",0.03,0.3196,"ONCOLOGY",1
"OID21401","CA14","Q9ULX7",0.03,0.3709,"ONCOLOGY",1
"OID21402","FGF21","Q9NSA1",0.04,1.0536,"ONCOLOGY",1
"OID21403","TRIAP1","O43715",0.04,0.2482,"ONCOLOGY",1
"OID21404","PRDX6","P30041",0.03,0.5633,"ONCOLOGY",1
"OID21405","CTSV","O60911",0.13,1.2945,"ONCOLOGY",1
"OID21406","LGALS7_LGALS7B","P47929",0.08,2.686,"ONCOLOGY",1
"OID21407","KLK14","Q9P0G3",0.04,1.7593,"ONCOLOGY",1
"OID21408","HSPB6","O14558",0.04,0.8376,"ONCOLOGY",1
"OID21409","SLITRK2","Q9H156",0.04,0.788,"ONCOLOGY",1
"OID21410","DPY30","Q9C005",0.19,0.4762,"ONCOLOGY",1
"OID21411","FGF23","Q9GZV9",0.04,0.7403,"ONCOLOGY",1
"OID21412","ANGPTL7","O43827",0.03,0.2724,"ONCOLOGY",1
"OID21413","AMBP","P02760",0.03,0.1944,"ONCOLOGY",1
"OID21414","CASP8","Q14790",0.03,0.8277,"ONCOLOGY",1
"OID21415","RSPO3","Q9BXY4",0.04,0.0662,"ONCOLOGY",1
"OID21416","ITGAV","P06756",0.09,0.2521,"ONCOLOGY",1
"OID21417","CA9","Q16790",0.03,0.4103,"ONCOLOGY",1
"OID21418","CD300E","Q496F6",0.03,0.0773,"ONCOLOGY",1
"OID21419","CLMP","Q9H6B4",0.04,0.4306,"ONCOLOGY",1
"OID21420","PVALB","P20472",0.08,1.7111,"ONCOLOGY",1
"OID21421","VWA1","Q6PCB0",0.03,0.656,"ONCOLOGY",1
"OID21422","HAVCR1","Q96D42",0.04,0.1091,"ONCOLOGY",1
"OID21423","GALNT2","Q10471",0.03,-0.0726,"ONCOLOGY",1
"OID21424","RTN4R","Q9BZR6",0.03,1.269,"ONCOLOGY",1
"OID21425","SCLY","Q96I15",0.03,0.4013,"ONCOLOGY",1
"OID21426","CNTN2","Q02246",0.04,0.7271,"ONCOLOGY",1
"OID21427","CRNN","Q9UBG3",0.03,0.4499,"ONCOLOGY",1
"OID21428","DAB2","P98082",0.17,0.498,"ONCOLOGY",1
"OID21429","LRIG1","Q96JA1",0.03,0.3621,"ONCOLOGY",1
"OID21430","CXCL8","P10145",0.03,0.0258,"ONCOLOGY",1
"OID21431","CAPG","P40121",0.03,0.8883,"ONCOLOGY",1
"OID21432","ACP6","Q9NPH0",0.04,0.6334,"ONCOLOGY",1
"OID21433","HBQ1","P09105",0.12,0.3565,"ONCOLOGY",1
"OID21434","APEX1","P27695",0.04,0.4883,"ONCOLOGY",1
"OID21435","CPVL","Q9H3G5",0.04,1.1279,"ONCOLOGY",1
"OID21436","RILP","Q96NA2",0.03,0.3754,"ONCOLOGY",1
"OID21437","METAP2","P50579",0.04,0.7258,"ONCOLOGY",1
"OID21438","GPC1","P35052",0.03,0.6031,"ONCOLOGY",1
"OID21439","MMP12","P39900",0.03,0.4132,"ONCOLOGY",1
"OID21440","F3","P13726",0.03,0.9756,"ONCOLOGY",1
"OID21441","HS6ST1","O60243",0.11,1.5072,"ONCOLOGY",1
"OID21442","FXN","Q16595",0.07,0.4881,"ONCOLOGY",1
"OID21443","PRTG","Q2VWP7",0.04,0.2827,"ONCOLOGY",1
"OID21444","WISP1","O95388",0.04,0.0569,"ONCOLOGY",1
"OID21445","ARG1","P05089",0.05,1.2471,"ONCOLOGY",1
"OID21446","TNFRSF19","Q9NS68",0.04,1.6173,"ONCOLOGY",1
"OID21447","TACSTD2","P09758",0.03,0.6494,"ONCOLOGY",1
"OID21448","NUCB2","P80303",0.03,0.5306,"ONCOLOGY",1
"OID21449","CD5","P06127",0.03,1.2991,"ONCOLOGY",1
